gamma_ps_inv,classical_efficiency
0.0,0.1879364136350548
3.7680000000000002,0.249999982333503
7.5360000000000005,0.2499999999999955
11.304,0.2500000000000005
15.072000000000001,0.2500000000000002
18.84,0.25000000000000194
22.608,0.2499999999999989
26.376,0.2500000000000018
30.144000000000002,0.25000000000000133
33.912,0.2499999999999987
37.68,0.2499999999999996
41.448,0.250000000000004
45.216,0.24999999999999947
48.984,0.25000000000000183
52.752,0.2500000000000039
56.52,0.24999999999999467
60.288000000000004,0.2499999999999962
64.056,0.2499999999999995
67.824,0.24999999999999206
71.592,0.2499999999999945
75.36,0.24999999999999928
79.128,0.25000000000000133
82.896,0.24999999999999048
86.664,0.24999999999999403
90.432,0.2499999999999831
94.2,0.24999999999998684
