gamma_ps_inv,efficiency,leakage,population_error,dt_ps
0.0,0.8996655938897369,3.9190872769268026e-14,3.9190872769268026e-14,0.01
3.7680000000000002,0.5712363636527196,4.318767565791859e-14,4.318767565791859e-14,0.01
7.5360000000000005,0.5065901390676593,4.285460875053104e-14,4.285460875053104e-14,0.01
11.304,0.48786473241488887,4.1744385725905886e-14,4.1744385725905886e-14,0.01
15.072000000000001,0.4824855922091656,4.263256414560601e-14,4.2743586448068527e-14,0.01
18.84,0.48264440407268655,4.263256414560601e-14,4.263256414560601e-14,0.01
22.608,0.4858743641067164,5.728750807065808e-14,5.728750807065808e-14,0.01
26.376,0.49112993360675894,4.2299497238218464e-14,4.241051954068098e-14,0.01
30.144000000000002,0.4978112228904726,4.3520742565306136e-14,4.3520742565306136e-14,0.01
33.912,0.5054982448083106,4.418687638008123e-14,4.418687638008123e-14,0.01
37.68,0.5138709531182282,4.263256414560601e-14,4.263256414560601e-14,0.01
41.448,0.5226797137437721,4.451994328746878e-14,4.440892098500626e-14,0.01
45.216,0.5317300187371996,4.285460875053104e-14,4.285460875053104e-14,0.01
48.984,0.5408717751112763,4.3076653355456074e-14,4.3076653355456074e-14,0.01
52.752,0.5499906683077472,4.3853809472693683e-14,4.3853809472693683e-14,0.01
56.52,0.5590009657399962,6.283862319378386e-14,6.283862319378386e-14,0.01
60.288000000000004,0.5678395525352384,4.0745185003743245e-14,4.085620730620576e-14,0.01
64.056,0.5764610570979305,4.0967229608668276e-14,4.085620730620576e-14,0.01
67.824,0.5848339205920375,6.283862319378386e-14,6.283862319378386e-14,0.01
71.592,0.5929372617702863,4.063416270128073e-14,4.063416270128073e-14,0.01
75.36,0.6007583967747288,4.163336342344337e-14,4.163336342344337e-14,0.01
79.128,0.6082908891580701,3.9745984281580604e-14,3.9745984281580604e-14,0.01
82.896,0.6155330239023978,3.907985046680551e-14,3.8968828164342995e-14,0.01
86.664,0.6224866175858048,1.7541523789077473e-14,1.7541523789077473e-14,0.01
90.432,0.6291560934679244,4.0745185003743245e-14,4.0745185003743245e-14,0.01
94.2,0.6355477645163061,4.063416270128073e-14,4.063416270128073e-14,0.01
