gamma,dephase_p,efficiency,site0_pop,site1_pop,site2_pop,site3_pop
0.0,0.0,1.0000000000000022,0.3201781416222723,0.32673028619318223,0.4174163147566471,1.0000000000000022
0.2,0.019801326693244747,0.9999999999999967,0.36705455589674346,0.3481971322282957,0.4022524287703748,0.9999999999999967
0.4,0.03921056084767682,0.9999999999999969,0.4054615389476506,0.36594611017294426,0.38955656568556263,0.9999999999999969
0.6000000000000001,0.05823546641575128,1.0000000000000027,0.43670789014032685,0.38034521142931466,0.3785356852865991,1.0000000000000027
0.8,0.07688365361336424,1.000000000000002,0.4619357734426912,0.39177224361883917,0.3686575304583336,1.000000000000002
1.0,0.09516258196404048,1.0000000000000109,0.4821266832178772,0.40059327331099875,0.3595681013777488,1.0000000000000109
1.2000000000000002,0.11307956328284252,1.000000000000002,0.49811490196601177,0.4071505605683035,0.3510347069325388,1.000000000000002
1.4000000000000001,0.13064176460119414,1.0000000000000013,0.5106040759047991,0.41175658193139325,0.34290671091610414,1.0000000000000013
1.6,0.14785621103378865,0.9999999999999971,0.5201843778502521,0.41469188500121223,0.3350885280194616,0.9999999999999971
1.8,0.164729788588728,1.0000000000000027,0.5273488726689255,0.41620528463828754,0.3275211019801336,1.0000000000000027
2.0,0.18126924692201818,0.9999999999999969,0.532508400551534,0.4165154238915804,0.3201692551708644,0.9999999999999969
