circuit_type,instance,fidelity,min_eigenvalue,cnot_count,seed
spatial_padded,0,0.9713221045110279,3.031438078637511e-13,7,546324
spatial_padded,0,0.9713221045110279,3.031438078637511e-13,7,546324
spatial_padded,0,0.9713221045110279,3.031438078637511e-13,7,546324
spatial_padded,0,0.9713221045110279,3.031438078637511e-13,7,546324
spatial_padded,0,0.9713221045110279,3.031438078637511e-13,7,546324
spatial_padded,0,0.9713221045110279,3.031438078637511e-13,7,546324
spatial_padded,0,0.9713221045110279,3.031438078637511e-13,7,546324
spatial_padded,0,0.9713221045110279,3.031438078637511e-13,7,546324
spatial_padded,0,0.9713221045110279,3.031438078637511e-13,7,546324
spatial_padded,0,0.9713221045110279,3.031438078637511e-13,7,546324
nonspatial_sampled,0,0.9713178623319991,7.203516515377878e-11,7,546324
nonspatial_sampled,1,0.9712968191990912,8.858179067554156e-09,7,878101
nonspatial_sampled,2,0.9713010611957993,9.134589272651092e-11,7,727006
nonspatial_sampled,3,0.9713136731588282,3.6273574791323596e-11,7,185527
nonspatial_sampled,4,0.9713052328953895,1.8000639111597511e-10,7,540205
nonspatial_sampled,5,0.971309483802917,3.649171446066169e-11,7,920900
nonspatial_sampled,6,0.9713010524132473,1.4394826133469418e-10,7,391524
nonspatial_sampled,7,0.971305267970665,1.0808489772263097e-10,7,946565
nonspatial_sampled,8,0.9713052416595673,8.69983817002396e-09,7,289505
nonspatial_sampled,9,0.9713052680807519,7.226351377938915e-11,7,874508
random_er,0,0.9713094750017643,3.693171656217124e-11,7,546324
random_er,1,0.9713221044015882,5.365879165639953e-11,7,878101
random_er,2,0.9713094837292711,8.932911232108572e-13,7,727006
random_er,3,0.9713221043283616,1.0706658006699531e-10,7,185527
random_er,4,0.9713094398346611,1.7953791497397493e-10,7,540205
random_er,5,0.9713137259283154,-5.686105559284086e-18,7,920900
random_er,6,0.9713010173014165,2.1566757152801427e-10,7,391524
random_er,7,0.9713347779534779,-1.7069307938594128e-19,7,946565
random_er,8,0.971313655483639,1.0699624390978029e-10,7,289505
random_er,9,0.9713263113781794,5.918504040827479e-13,7,874508
